,key_update,key_update,key_update,key_update,key_update,key_update,key_update,key_update
10 rue Saint Hyacinthe 1st arr 75001 Paris France,none,none,none,none,other_room,stayed_less_than_a_week,family_trip,none
10 rue Saint Philippe du Roule 8th arr 75008 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
10 rue d Ormesson 4th arr 75004 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
10 rue de Bruxelles 9th arr 75009 Paris France,private_access,none,none,none,none,stayed_more_than_a_week,couple,none
10 rue de Vaugirard 6th arr 75006 Paris France,none,none,none,none,superior_room,stayed_less_than_a_week,family_trip,none
100 110 Euston Road Camden London NW1 2AJ United Kingdom,none,none,none,none,king_room,stayed_more_than_a_week,family_trip,none
100 Cromwell Road Kensington and Chelsea London SW7 4ER United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,none,none,none,suite,queen_room,stayed_more_than_a_week,family_trip,none
100 Shoreditch High Street Hackney London E1 6JQ United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
100 Vauxhall Walk Lambeth London SE11 5AL United Kingdom,none,accessibility,none,suite,king_room,stayed_more_than_a_week,family_trip,none
101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
101 Knightsbridge Westminster Borough London SW1X 7RN United Kingdom,none,none,none,none,economy,stayed_more_than_a_week,group_trip,none
102 Avenue Victor Hugo 16th arr 75016 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,business_trip,none
102 Avenue de Villiers 17th arr 75017 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,group_trip,park_view
102 Bd De Grenelle 15th arr 75015 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,paris_view
104 Bayswater Rd Westminster Borough London W2 3HL United Kingdom,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,room_with_view
108 Baker Street Westminster Borough London W1U 6LJ United Kingdom,none,none,none,studio,double_room,stayed_more_than_a_week,family_trip,none
108 Rue Saint Lazare 8th arr 75008 Paris France,lounge_access,none,none,none,deluxe_room,stayed_less_than_a_week,family_trip,none
109 113 Queen s Gate Kensington and Chelsea London SW7 5LR United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,none,accessibility,none,none,king_room,stayed_less_than_a_week,family_trip,none
10b Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,none,accessibility,none,suite,more_than_one_room,stayed_more_than_a_week,family_trip,none
11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom,none,accessibility,none,suite,double_room,stayed_less_than_a_week,family_trip,none
11 13 Bayley Street Bedford Square Camden London WC1B 3HD United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
11 15 Rue De Lyon 12th arr 75012 Paris France,none,none,none,none,king_room,stayed_more_than_a_week,family_trip,none
11 Bis Rue Jules Chaplain 6th arr 75006 Paris France,none,none,none,none,economy,stayed_more_than_a_week,family_trip,none
11 Bis rue Mazagran 10th arr 75010 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,none
11 Cadogan Gardens Sloane Square Kensington and Chelsea London SW3 2RJ United Kingdom,none,none,none,suite,queen_room,stayed_more_than_a_week,family_trip,none
11 Knightsbridge Westminster Borough London SW1X 7LY United Kingdom,none,none,none,suite,king_room,stayed_more_than_a_week,group_trip,park_view
11 Rue Du Temple 4th arr 75004 Paris France,none,none,none,suite,single_room,stayed_less_than_a_week,group_trip,none
11 Rue d Astorg 8th arr 75008 Paris France,none,none,none,suite,queen_room,stayed_less_than_a_week,family_trip,none
11 Rue de l Arcade 8th arr 75008 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS United Kingdom,none,none,none,none,twin_room,stayed_more_than_a_week,family_trip,none
11 rue Paul Baudry 8th arr 75008 Paris France,free_access,none,none,none,more_than_one_room,stayed_less_than_a_week,group_trip,none
11 rue de Tr vise 9th arr 75009 Paris France,none,none,none,none,queen_room,stayed_less_than_a_week,group_trip,none
11 rue du 8 Mai 1945 10th arr 75010 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
110 rue Blomet 15th arr 75015 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom,none,none,none,none,queen_room,stayed_more_than_a_week,family_trip,none
111 Westminster Bridge Road Lambeth London SE1 7JD United Kingdom,none,accessibility,none,suite,deluxe_room,stayed_more_than_a_week,group_trip,none
111 avenue de la Bourdonnais 7th arr 75007 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
112 boulevard de S bastopol 3rd arr 75003 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
113 Lambeth Rd Lambeth London SE1 7LS United Kingdom,none,none,none,none,queen_room,stayed_more_than_a_week,family_trip,none
116 Piccadilly Westminster Borough London W1J 7BJ United Kingdom,none,none,none,apartment,superior_room,stayed_more_than_a_week,group_trip,park_view
117 129 Cromwell Road Kensington and Chelsea London SW7 4DS United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
117 Poplar High Street Tower Hamlets London E14 0AE United Kingdom,none,none,none,none,king_room,stayed_less_than_a_week,group_trip,city_view
117 Rue Lauriston 16th arr 75116 Paris France,none,none,none,suite,queen_room,stayed_less_than_a_week,family_trip,none
11bis Rue Godot de Mauroy 9th arr 75009 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
12 14 Rue Joseph De Maistre 18th arr 75018 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,paris_view
12 Boulevard Haussmann 9th arr 75009 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
12 Folgate Street City of London London E1 6BX United Kingdom,none,none,none,suite,double_room,stayed_less_than_a_week,business_trip,none
12 Lancaster Gate Lancaster Gate Westminster Borough London W2 3LG United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
12 Rue Jean Goujon 8th arr 75008 Paris France,none,none,none,suite,economy,stayed_less_than_a_week,family_trip,none
12 Rue de Louvois 2nd arr 75002 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
12 Upper Woburn Place Camden London WC1H 0HX United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
12 boulevard Malesherbes 8th arr 75008 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
12 rue Saint Didier 16th arr 75016 Paris France,none,none,none,suite,economy,stayed_more_than_a_week,family_trip,none
12 rue Saint Roch 1st arr 75001 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,business_trip,none
12 rue de Marignan 8th arr 75008 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,paris_view
12 rue de Parme 9th arr 75009 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,group_trip,none
12 rue de la Montagne Sainte Genevi ve 5th arr 75005 Paris France,pool_access,none,none,none,balcony_room,stayed_less_than_a_week,family_trip,none
12 rue des Saussaies 8th arr 75008 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
