,key_update,key_update,key_update,key_update,key_update,key_update,key_update,key_update
29 31 Draycott Place Kensington and Chelsea London SW3 2SH United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,group_trip,none
29 31 Gower Street Camden London WC1E 6HG United Kingdom,none,none,none,none,triple_room,stayed_more_than_a_week,family_trip,none
29 31 rue de Poitou 3rd arr 75003 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,solo,none
29 31 rue des Ecoles 5th arr 75005 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
29 Avenue De Tourville 7th arr 75007 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
29 Rue Jacob 6th arr 75006 Paris France,none,none,none,none,other_room,stayed_more_than_a_week,family_trip,none
29 rue Caumartin 9th arr 75009 Paris France,none,none,none,none,luxury_room,stayed_less_than_a_week,family_trip,none
29 rue Victor Mass 9th arr 75009 Paris France,none,none,none,none,economy,stayed_less_than_a_week,group_trip,room_with_view
291 Greenwich High Road Greenwich Greenwich London SE10 8NA United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
2e Hugo de Grootstraat 2 6 Westerpark 1052 LC Amsterdam Netherlands,none,none,none,suite,double_room,stayed_less_than_a_week,group_trip,none
3 5 rue du Mont Thabor 1st arr 75001 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,group_trip,none
3 Berkeley Street Westminster Borough London W1J 8NE United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
3 Bis Place Saint Sulpice 6th arr 75006 Paris France,none,accessibility,none,none,double_room,stayed_less_than_a_week,family_trip,none
3 Boulevard Montmartre 2nd arr 75002 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
3 Boulevard Saint Michel 5th arr 75005 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
3 Devonshire Terrace Westminster Borough London W2 3DN United Kingdom,none,none,none,none,deluxe_room,stayed_more_than_a_week,group_trip,none
3 Kingdom Street Sheldon Square Westminster Borough London W2 6BD United Kingdom,none,none,none,none,queen_room,stayed_more_than_a_week,family_trip,none
3 Place du G n ral Koenig 17th arr 75017 Paris France,none,none,none,suite,king_room,stayed_more_than_a_week,family_trip,paris_view
3 Rue Abb De L Ep e 5th arr 75005 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
3 Rue Cambon 1st arr 75001 Paris France,private_access,none,none,none,double_room,stayed_less_than_a_week,group_trip,none
3 Rue Caulaincourt 18th arr 75018 Paris France,none,none,none,none,king_room,stayed_less_than_a_week,family_trip,none
3 Rue Christine 6th arr 75006 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
3 Rue De Boulainvilliers 16th arr 75016 Paris France,none,none,none,none,other_room,stayed_less_than_a_week,family_trip,none
3 Rue Pergolese 16th arr 75116 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
3 Rue Rouget De Lisle 1st arr 75001 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
3 Rue Verniquet 17th arr 75017 Paris France,none,none,none,none,economy,stayed_more_than_a_week,family_trip,none
3 Rue de Montalembert 7th arr 75007 Paris France,free_access,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
3 South Place City of London London EC2M 2AF United Kingdom,none,none,none,studio,double_room,stayed_more_than_a_week,group_trip,none
3 Westbourne Terrace Lancaster Gate Westminster Borough London W2 3UL United Kingdom,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
3 avenue Mac Mahon 17th arr 75017 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,group_trip,none
3 rue Clauzel 9th arr 75009 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
3 rue Lepic 18th arr 75018 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,business_trip,none
3 rue de Bourgogne 7th arr 75007 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
3 rue de Castiglione 1st arr 75001 Paris France,none,none,none,suite,superior_room,stayed_less_than_a_week,family_trip,room_with_view
3 rue de Ponthieu 8th arr 75008 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
3 rue du Pr aux Clercs 7th arr 75007 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
30 32 Boulevard Poissonni re 9th arr 75009 Paris France,none,none,none,none,king_room,stayed_less_than_a_week,family_trip,none
30 Barkston Gardens Kensington and Chelsea London SW5 0EN United Kingdom,none,none,none,none,deluxe_room,stayed_more_than_a_week,family_trip,none
30 Jamestown Road Camden London NW1 7BY United Kingdom,none,none,none,penthouse_suite,double_room,stayed_less_than_a_week,family_trip,room_with_view
30 John Islip St Westminster Borough London SW1P 4DD United Kingdom,lounge_access,none,none,none,queen_room,stayed_less_than_a_week,family_trip,none
30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
30 Portman Square Westminster Borough London W1H 7BH United Kingdom,lounge_access,none,none,none,king_room,stayed_more_than_a_week,family_trip,room_with_view
30 Rathbone Street West End Westminster Borough London W1T 1LB United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
30 Rue Duret 16th arr 75016 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,none
30 Rue Jean Mermoz 8th arr 75008 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
30 Rue La P rouse 16th arr 75016 Paris France,none,none,none,suite,deluxe_room,stayed_less_than_a_week,family_trip,none
30 Rue de Bassano 16th arr 75016 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
30 rue Pernety 14th arr 75014 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
31 33 Argyle Street Camden London WC1H 8EP United Kingdom,none,none,none,suite,more_than_one_room,stayed_less_than_a_week,family_trip,none
31 34 Queen s Gate Kensington and Chelsea London SW7 5JA United Kingdom,none,none,none,none,queen_room,stayed_more_than_a_week,family_trip,none
31 35 Langham Street Westminster Borough London W1W 6BU United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
31 36 Leicester Square Westminster Borough London WC2H 7LH United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
31 Avenue George V 8th arr 75008 Paris France,none,none,none,suite,king_room,stayed_more_than_a_week,family_trip,none
31 Great Cumberland Place Westminster Borough London W1H 7TA United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,group_trip,none
31 Rue de Surene 8th arr 75008 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
31 St Thomas Street Southwark London SE1 9QU United Kingdom,none,none,none,suite,king_room,stayed_less_than_a_week,family_trip,city_view
31 rue de la Folie M ricourt 11th arr 75011 Paris France,none,none,none,duplex,double_room,stayed_more_than_a_week,family_trip,none
32 Rue Greuze 16th arr 75016 Paris France,none,none,none,suite,superior_room,stayed_less_than_a_week,family_trip,none
32 rue des Ecoles 5th arr 75005 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,group_trip,none
32 rue des Saints P res 7th arr 75007 Paris France,spa_access,none,none,none,economy,stayed_less_than_a_week,family_trip,none
33 37 Hogarth Road Kensington and Chelsea London SW5 0QQ United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
33 Albemarle Street Mayfair Westminster Borough London W1S 4BP United Kingdom,none,none,none,suite,king_room,stayed_less_than_a_week,family_trip,none
33 Avenue Du Docteur Arnold Netter 12th arr 75012 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
33 Beaufort Gardens Kensington and Chelsea London SW3 1PP United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,group_trip,none
33 Boulevard du Montparnasse 6th arr 75006 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,couple,none
33 Roland Gardens Kensington and Chelsea London SW7 3PF United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
33 Rue Cambon 1st arr 75001 Paris France,none,none,none,suite,superior_room,stayed_more_than_a_week,family_trip,none
33 Rue Dauphine 6th arr 75006 Paris France,none,none,none,apartment,double_room,stayed_less_than_a_week,family_trip,none
33 avenue George V 8th arr 75008 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
33 avenue de Friedland 8th arr 75008 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
33 place de la Madeleine 8th arr 75008 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
33 rue Marbeuf 8th arr 75008 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
33 rue Raymond Losserand 14th arr 75014 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
335 337 High Street Stratford Newham London E15 2TF United Kingdom,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
335 337 Old Street Hackney London EC1V 9LL United Kingdom,none,none,none,suite,king_room,stayed_more_than_a_week,family_trip,none
336 337 Strand London Westminster Borough London WC2R 1HA United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,city_view
34 37 Bedford Place Bloomsbury Camden London WC1B 5JR United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
34 44 Barkston Gardens Kensington and Chelsea London SW5 0EW United Kingdom,none,none,none,none,queen_room,stayed_more_than_a_week,family_trip,none
34 Avenue Porte d Asni res 17th arr 75017 Paris France,none,none,none,none,queen_room,stayed_more_than_a_week,family_trip,none
34 Lombard Road Battersea London SW11 3RF United Kingdom,none,none,none,suite,double_room,stayed_less_than_a_week,group_trip,none
34 Norfolk Place Paddington Westminster Borough London W2 1QW United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
34 Rue Fontaine 9th arr 75009 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
34 Rue Viala 15th arr 75015 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,paris_view
34 Rue de Buci 6th arr 75006 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
34 rue Jean Mermoz 8th arr 75008 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
34 rue de Moscou 8th arr 75008 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,group_trip,none
346 348 Edgware Road Westminster Borough London W2 1EA United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
35 39 St Georges Drive Westminster Borough London SW1V 4DG United Kingdom,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
35 Boulevard de la tour Maubourg 7th arr 75007 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
35 Charles Street Mayfair Westminster Borough London W1J 5EB United Kingdom,none,none,none,suite,king_room,stayed_more_than_a_week,family_trip,none
35 Ixworth Place Kensington and Chelsea London SW3 3QX United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
35 Rue Benjamin Franklin 16th arr 75016 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,room_with_view
35 Rue Caumartin 9th arr 75009 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
35 Rue De Berri 8th arr 75008 Paris France,none,none,none,suite,executive_room,stayed_less_than_a_week,group_trip,none
35 Rue Jean Goujon 8th arr 75008 Paris France,none,none,none,suite,twin_room,stayed_less_than_a_week,group_trip,none
35 Rue La Bruy re 9th arr 75009 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
35 St James s Place Westminster Borough London SW1A 1NY United Kingdom,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
350 Oxford Street Westminster Borough London W1C 1BY United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
354 Queenstown Road Battersea London SW8 4AE United Kingdom,none,accessibility,none,suite,king_room,stayed_more_than_a_week,family_trip,none
36 37 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
36 38 Rue Du Moulin 92170 Paris France,none,none,none,none,queen_room,stayed_less_than_a_week,business_trip,none
36 Great st Helens City of London London EC3A 6AP United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,none
36 Rue Saint Marc 2nd arr 75002 Paris France,pool_access,none,none,none,more_than_one_room,stayed_less_than_a_week,business_trip,none
36 rue Pierre Demours 17th arr 75017 Paris France,pool_access,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
36 rue Saint Ferdinand 17th arr 75017 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,none
36 rue de Saint Quentin 10th arr 75010 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,business_trip,none
36 rue du Grenier Saint Lazare 3rd arr 75003 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
368 370 Green Lanes London N4 1DA United Kingdom,none,none,none,suite,superior_room,stayed_less_than_a_week,family_trip,none
37 Avenue De La Motte Picquet 7th arr 75007 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
37 Avenue Hoche 8th arr 75008 Paris France,spa_access,none,none,none,none,stayed_less_than_a_week,family_trip,none
37 Eccleston Square Westminster Borough London SW1V 1PB United Kingdom,none,none,none,none,queen_room,stayed_less_than_a_week,group_trip,none
37 Nottingham Place Westminster Borough London W1U 5LT United Kingdom,none,none,none,studio,economy,stayed_more_than_a_week,group_trip,none
37 rue Fran ois 1er 8th arr 75008 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
372 Strand Westminster Borough London WC2R 0JJ United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
38 Rue Du Faubourg Saint Honore 8th arr 75008 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,paris_view
38 rue de l Echiquier 10th arr 75010 Paris France,none,none,none,suite,queen_room,stayed_less_than_a_week,group_trip,none
380 Kensington High Street Kensington and Chelsea London W14 8NL United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
39 40 Bedford Place Bloomsbury Camden London WC1B 5JT United Kingdom,none,none,none,studio,double_room,stayed_less_than_a_week,family_trip,none
39 40 Cleveland Square Westminster Borough London W2 6DA United Kingdom,none,none,none,suite,single_room,stayed_more_than_a_week,family_trip,none
39 40 Dorset Square Hotel Westminster Borough London NW1 6QN United Kingdom,none,none,none,suite,superior_room,stayed_more_than_a_week,business_trip,none
39 Avenue de Wagram 17th arr 75017 Paris France,none,none,free_wifi,none,none,stayed_less_than_a_week,family_trip,courtyard_view
39 Avenue de l Op ra 2nd arr 75002 Paris France,none,none,none,suite,superior_room,stayed_more_than_a_week,family_trip,none
39 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,room_with_view
39 Coventry Street Westminster Borough London W1D 6BZ United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
4 18 Harrington Gardens Kensington and Chelsea London SW7 4LH United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
4 Boulevard Brune 14th arr 75014 Paris France,none,none,none,none,queen_room,stayed_more_than_a_week,family_trip,none
4 Boulevard Raspail 7th arr 75007 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,group_trip,none
4 Broad Court Bow Street Covent Garden Westminster Borough London WC2B 5QZ United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
4 Bryanston St Marble Arch Westminster Borough London W1H 7BY United Kingdom,none,none,none,none,queen_room,stayed_more_than_a_week,family_trip,none
4 Portal Way Gypsy Corner A40 London W3 6RT United Kingdom,none,accessibility,none,none,economy,stayed_more_than_a_week,family_trip,none
4 Richmond Mews Westminster Borough London W1D 3DH United Kingdom,none,none,none,suite,luxury_room,stayed_more_than_a_week,family_trip,none
4 Rue De Valois 1st arr 75001 Paris France,none,none,none,suite,superior_room,stayed_less_than_a_week,family_trip,none
4 Rue Du Mont Thabor 1st arr 75001 Paris France,none,none,none,suite,queen_room,stayed_less_than_a_week,family_trip,none
4 Rue La Boetie 8th arr 75008 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,group_trip,none
4 Rue de L Isly 8th arr 75008 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
4 Rue des Petites Ecuries 10th arr 75010 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
4 rue Amsterdam 9th arr 75009 Paris France,none,none,none,suite,twin_room,stayed_less_than_a_week,family_trip,none
4 rue Cadet 9th arr 75009 Paris France,free_access,none,none,none,none,stayed_less_than_a_week,family_trip,none
4 rue Danton 6th arr 75006 Paris France,none,none,none,none,queen_room,stayed_more_than_a_week,family_trip,paris_view
4 rue Salomon de Caus 3rd arr 75003 Paris France,none,none,none,suite,economy,stayed_more_than_a_week,group_trip,none
4 rue d Alger 1st arr 75001 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
4 rue d Anjou 8th arr 75008 Paris France,none,none,none,suite,superior_room,stayed_less_than_a_week,group_trip,none
4 rue d Artois 8th arr 75008 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
4 rue de la P pini re 8th arr 75008 Paris France,spa_access,none,none,suite,double_room,stayed_less_than_a_week,group_trip,none
40 Liverpool Street City of London London EC2M 7QN United Kingdom,none,none,none,suite,queen_room,stayed_less_than_a_week,family_trip,none
40 Marsh Wall Tower Hamlets London E14 9TP United Kingdom,none,none,none,suite,double_room,stayed_less_than_a_week,group_trip,none
40 Rue Rene Boulanger 10th arr 75010 Paris France,spa_access,none,none,none,none,stayed_more_than_a_week,business_trip,none
40 Rue du Commandant Ren Mouchotte 14th arr 75014 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,none
40 avenue de Friedland 8th arr 75008 Paris France,none,none,none,suite,economy,stayed_more_than_a_week,family_trip,none
40 rue Liancourt 14th arr 75014 Paris France,none,none,none,suite,more_than_one_room,stayed_less_than_a_week,family_trip,none
40 rue de Lille 7th arr 75007 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
40 trinity square City of London London EC3N 4DJ United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,business_trip,none
407 Goldhawk Rd Chiswick London W6 0SA United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,group_trip,none
41 43 Brook Street Westminster Borough London W1K 4HJ United Kingdom,none,none,none,none,queen_room,stayed_more_than_a_week,family_trip,none
41 51 Inverness Terrace Westminster Borough London W2 3JN United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,group_trip,none
41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,none,none,none,studio,king_room,stayed_more_than_a_week,family_trip,none
41 Avenue Marceau 16th arr 75016 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
41 Avenue Pierre 1er de Serbie 8th arr 75008 Paris France,none,none,none,suite,superior_room,stayed_more_than_a_week,group_trip,none
41 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom,lounge_access,none,none,none,none,stayed_less_than_a_week,family_trip,none
41 Great Cumberland Place Westminster Borough London W1H 7LG United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
41 Queens Gate Gardens Kensington and Chelsea London SW7 5NB United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
41 Rue Des Ecoles 5th arr 75005 Paris France,none,none,none,none,economy,stayed_more_than_a_week,family_trip,none
41 boulevard Saint Michel 5th arr 75005 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
41 rue Jean Baptiste Pigalle 9th arr 75009 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
41 rue de Clichy 9th arr 75009 Paris France,spa_access,none,none,none,double_room,stayed_less_than_a_week,business_trip,none
419 437 Hackney Road London E2 8PP United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,group_trip,none
42 46 Chiswell Street City of London London EC1Y 4SB United Kingdom,none,none,none,studio,double_room,stayed_less_than_a_week,family_trip,none
42 Rue Des Petites Ecuries 10th arr 75010 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
42 rue Croix des Petits Champs 1st arr 75001 Paris France,none,none,none,studio,double_room,stayed_less_than_a_week,family_trip,none
43 51 Wembley Hill Road Brent London HA9 8AU United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
43 Rue De l Abb Gr goire 6th arr 75006 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
43 Rue des Mathurins 8th arr 75008 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
43 Worple Road Wimbledon London SW19 4JZ United Kingdom,none,none,none,none,twin_room,stayed_more_than_a_week,family_trip,none
43 rue Monsieur le Prince 6th arr 75006 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
44 Grosvenor Square Westminster Borough London W1K 2HP United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
44 Rue Madame 6th arr 75006 Paris France,none,none,none,none,economy,stayed_more_than_a_week,solo,none
44 rue de Bourgogne 7th arr 75007 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
45 Curtain Road Hackney London EC2A 4PJ United Kingdom,none,none,none,none,king_room,stayed_less_than_a_week,group_trip,none
45 Park Lane Westminster Borough London W1K 1PN United Kingdom,none,none,none,none,king_room,stayed_less_than_a_week,family_trip,park_view
45 Prescot Street City of London London E1 8GP United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
45 Rue des Acacias 17th arr 75017 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
45 St Martin s Lane Westminster Borough London WC2N 4HX United Kingdom,none,none,none,suite,economy,stayed_more_than_a_week,family_trip,none
46 Avenue George V 8th arr 75008 Paris France,none,none,none,suite,superior_room,stayed_less_than_a_week,family_trip,none
46 Blackfriars Road Southwark London SE1 8NZ United Kingdom,none,none,none,none,queen_room,stayed_less_than_a_week,family_trip,none
46 Rue De Tr vise 9th arr 75009 Paris France,none,none,none,suite,deluxe_room,stayed_less_than_a_week,family_trip,none
46 Westferry Circus Tower Hamlets London E14 8RS United Kingdom,none,none,none,suite,king_room,stayed_less_than_a_week,family_trip,river_view
47 Welbeck Street Westminster Borough London W1G 8DN United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
48 Rue De L arbre Sec 1st arr 75001 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
49 50 St John s Square Islington London EC1V 4JJ United Kingdom,none,none,none,suite,other_room,stayed_less_than_a_week,family_trip,none
49 53 New Road Tower Hamlets London E1 1HH United Kingdom,none,none,none,apartment,twin_room,stayed_more_than_a_week,family_trip,none
49 Avenue Marceau 16th arr 75116 Paris France,none,none,none,suite,single_room,stayed_more_than_a_week,group_trip,none
49 Gloucester Place Marble Arch Westminster Borough London W1U 8JE United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,none
49 Rue La Fayette 9th arr 75009 Paris France,none,none,none,suite,economy,stayed_more_than_a_week,family_trip,none
49 rue Pierre Charron 8th arr 75008 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
5 7 Princes Square Kensington and Chelsea London W2 4NP United Kingdom,none,none,none,none,deluxe_room,stayed_more_than_a_week,group_trip,none
5 7 Rue De Montalembert 7th arr 75007 Paris France,none,none,none,suite,superior_room,stayed_more_than_a_week,family_trip,city_view
5 7 Rue Th r se 1st arr 75001 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
5 7 rue Rampon 11th arr 75011 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
5 Cavell Street Tower Hamlets London E1 2BP United Kingdom,none,accessibility,none,none,double_room,stayed_less_than_a_week,family_trip,none
5 Curzon St Westminster Borough London W1J 5HL United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
5 Fairmont Avenue Canary Wharf Tower Hamlets London E14 9JB United Kingdom,none,none,none,suite,king_room,stayed_less_than_a_week,family_trip,river_view
5 More London Place Tooley Street Southwark London SE1 2BY United Kingdom,lounge_access,none,none,none,double_room,stayed_less_than_a_week,group_trip,none
5 Olympic Way Wembley Brent London HA9 0NP United Kingdom,none,none,none,none,queen_room,stayed_more_than_a_week,family_trip,none
5 Rue Belidor 17th arr 75017 Paris France,spa_access,none,none,none,more_than_one_room,stayed_less_than_a_week,family_trip,none
5 Rue De Malte 11th arr 75011 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,none
5 Rue Marivaux 2nd arr 75002 Paris France,none,none,breakfast_included,duplex,double_room,stayed_less_than_a_week,family_trip,none
5 Rue Saint Roch 1st arr 75001 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
5 Rue de Montyon 9th arr 75009 Paris France,none,none,none,none,single_room,stayed_less_than_a_week,family_trip,none
5 Threadneedle Street City of London London EC2R 8AY United Kingdom,none,none,none,suite,queen_room,stayed_more_than_a_week,business_trip,none
5 bis rue Massenet 16th arr 75016 Paris France,none,none,none,none,superior_room,stayed_less_than_a_week,family_trip,none
5 place de l Od on 6th arr 75006 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
5 rue Louis Codet 7th arr 75007 Paris France,none,none,none,duplex,double_room,stayed_less_than_a_week,group_trip,none
5 rue de Berri 8th arr 75008 Paris France,none,none,none,none,queen_room,stayed_less_than_a_week,family_trip,none
5 rue de Ponthieu 8th arr 75008 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
5 rue de la Paix 2nd arr 75002 Paris France,none,none,none,suite,king_room,stayed_more_than_a_week,family_trip,none
5 rue des Arquebusiers 3rd arr 75003 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,group_trip,none
5 rue des Capucines 1st arr 75001 Paris France,none,none,none,none,economy,stayed_less_than_a_week,family_trip,none
5 rue du 8 Mai 1945 10th arr 75010 Paris France,none,none,none,none,king_room,stayed_less_than_a_week,family_trip,none
50 Berners Street Westminster Borough London W1T 3NG United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
50 Great Cumberland Place Westminster Borough London W1H 7FD United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
50 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,none,none,none,apartment,double_room,stayed_less_than_a_week,group_trip,none
50 rue de Richelieu 1st arr 75001 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
50 rue des Bernardins 5th arr 75005 Paris France,none,none,none,apartment,economy,stayed_more_than_a_week,family_trip,none
51 57 rue de Courcelles 8th arr 75008 Paris France,none,none,none,suite,king_room,stayed_more_than_a_week,family_trip,park_view
51 Gloucester Terrace Westminster Borough London W2 3DQ United Kingdom,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
51 Rue Lauriston 16th arr 75016 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
51 Rue de Malte 11th arr 75011 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
51 rue Letort 18th arr 75018 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,room_with_view
52 54 Upper Richmond Road Wandsworth London SW15 2RN United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
52 56 Inverness Terrace Westminster Borough London W2 3LB United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
52 Chiswell Street City of London London EC1Y 4SD United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,business_trip,none
52 Rue Oradour sur Glane 15th arr 75015 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
