,City,Date,TempHigh,TempLow,Summary
0,Paris,2017-05-18,70.18,51.67,Rain in the evening.
1,Paris,2017-04-29,61.89,37.35,Foggy in the morning.
2,Paris,2017-04-28,56.15,37.79,Mostly cloudy throughout the day.
3,Paris,2017-04-10,61.32,49.03,Mostly cloudy throughout the day.
4,Paris,2017-03-19,56.63,51.92,Overcast throughout the day.
5,Paris,2017-02-27,53.61,43.11,Mostly cloudy throughout the day.
6,Paris,2017-02-12,45.94,32.08,Mostly cloudy throughout the day.
7,Paris,2017-02-01,54.21,47.75,Mostly cloudy throughout the day.
8,Paris,2016-10-29,56.81,50.04,Mostly cloudy throughout the day.
9,Paris,2016-10-26,56.05,46.68,Foggy in the morning.
10,Paris,2016-10-13,51.97,42.02,Mostly cloudy throughout the day.
11,Paris,2016-10-12,57.54,38.36,Partly cloudy starting in the afternoon.
12,Paris,2016-10-07,57.87,49.19,Overcast throughout the day.
13,Paris,2016-10-06,60.04,42.64,Partly cloudy starting in the evening.
14,Paris,2016-09-01,80.17,57.45,Partly cloudy throughout the day.
15,Paris,2016-08-22,83.09,59.99,Mostly cloudy in the morning.
16,Paris,2016-08-10,65.5,51.59,Mostly cloudy throughout the day.
17,Paris,2016-06-21,72.09,61.43,Mostly cloudy throughout the day.
18,Paris,2016-06-18,66.17,55.05,Mostly cloudy throughout the day.
19,Paris,2016-05-26,70.59,51.42,Mostly cloudy throughout the day.
20,Paris,2016-04-05,60.27,48.88,Mostly cloudy throughout the day.
21,Paris,2016-03-29,57.05,42.82,Mostly cloudy throughout the day.
22,Paris,2015-12-29,53.65,43.68,Mostly cloudy throughout the day.
23,Paris,2015-11-24,44.97,33.81,Foggy in the afternoon.
24,Paris,2015-11-23,43.13,33.83,Mostly cloudy throughout the day.
25,Paris,2015-11-17,62.05,57.15,Mostly cloudy throughout the day.
26,Paris,2015-11-13,59.58,49.84,Mostly cloudy throughout the day.
27,Paris,2015-11-10,58.94,49.64,Mostly cloudy throughout the day.
28,Paris,2015-10-13,53.28,43.41,Mostly cloudy throughout the day.
29,Paris,2015-09-20,65.96,46.5,"Partly cloudy starting in the afternoon, continuing until evening."
30,Paris,2015-08-23,73.72,63.54,Mostly cloudy throughout the day.
31,Paris,2015-08-20,73.65,62.36,Mostly cloudy throughout the day.
32,Paris,2015-08-09,78.69,65.07,Mostly cloudy throughout the day.
33,Paris,2015-08-05,86.8,57.96,Mostly cloudy until evening.
34,London,2017-07-15,70.85,58.72,Mostly cloudy throughout the day.
35,London,2017-04-24,57.04,43.92,Mostly cloudy until evening.
36,London,2017-07-28,69.39,56.6,Mostly cloudy throughout the day.
37,London,2017-07-23,65.14,51.76,Partly cloudy throughout the day.
38,Paris,2017-06-10,81.28,55.82,Partly cloudy in the morning.
39,Paris,2017-05-30,72.28,62.85,Mostly cloudy throughout the day.
40,Paris,2017-05-22,78.21,51.84,Mostly cloudy throughout the day.
41,Paris,2017-05-13,67.2,52.19,Mostly cloudy throughout the day.
42,Paris,2017-04-13,60.0,45.4,Mostly cloudy throughout the day.
43,Paris,2017-03-12,63.49,41.1,Mostly cloudy throughout the day.
44,Paris,2017-03-06,46.04,40.08,Rain until afternoon.
45,Paris,2017-03-02,54.14,41.96,Mostly cloudy throughout the day.
46,Paris,2017-02-26,54.29,43.17,Mostly cloudy throughout the day.
47,Paris,2017-02-20,53.2,46.38,Overcast throughout the day.
48,Paris,2017-01-21,37.06,19.65,Clear throughout the day.
49,Paris,2017-01-10,45.78,37.68,Mostly cloudy throughout the day.
50,Paris,2017-01-09,46.1,41.0,Foggy in the morning.
51,Paris,2017-01-07,35.03,22.91,Foggy starting in the evening.
52,Paris,2017-01-02,36.26,32.4,Foggy starting in the evening.
53,Paris,2016-11-08,45.28,36.04,Mostly cloudy throughout the day.
54,Paris,2016-11-07,39.17,35.57,Overcast throughout the day.
55,Paris,2016-10-04,67.49,46.81,Partly cloudy in the morning.
56,Paris,2016-09-19,66.97,58.96,Mostly cloudy throughout the day.
57,Paris,2016-09-18,70.59,54.35,Foggy in the morning.
58,Paris,2016-09-03,82.44,59.22,Mostly cloudy throughout the day.
59,Paris,2016-08-31,82.82,57.72,Partly cloudy until evening.
60,Paris,2016-08-29,74.63,64.23,Mostly cloudy throughout the day.
61,Paris,2016-08-18,72.6,64.62,Mostly cloudy throughout the day.
62,Paris,2016-08-12,81.46,57.76,Mostly cloudy until evening.
63,Paris,2016-08-11,72.6,48.62,Mostly cloudy throughout the day.
64,Paris,2016-06-08,73.91,59.28,Mostly cloudy throughout the day.
65,Paris,2016-05-23,58.73,51.63,Light rain in the morning and afternoon.
66,Paris,2016-05-09,69.58,60.41,Mostly cloudy throughout the day.
67,Paris,2016-05-02,65.92,37.89,Mostly cloudy throughout the day.
68,Paris,2016-04-16,57.98,48.73,Mostly cloudy throughout the day.
69,Paris,2015-11-08,70.0,55.87,Mostly cloudy throughout the day.
70,Paris,2015-10-14,50.24,37.38,Mostly cloudy throughout the day.
71,Paris,2015-10-02,67.99,44.01,Mostly cloudy overnight.
72,Paris,2015-09-02,68.81,50.76,Mostly cloudy throughout the day.
73,Paris,2015-08-08,81.75,61.6,Mostly cloudy throughout the day.
74,Paris,2015-08-04,79.5,63.21,Mostly cloudy throughout the day.
75,Paris,2017-06-16,73.97,56.11,Partly cloudy throughout the day.
76,Paris,2017-05-20,64.15,44.12,Mostly cloudy throughout the day.
77,Paris,2017-05-12,69.59,52.3,Mostly cloudy throughout the day.
78,Paris,2017-04-17,54.79,46.3,Mostly cloudy throughout the day.
79,Paris,2017-04-07,65.39,37.31,Partly cloudy until afternoon.
80,Paris,2017-03-30,74.08,47.9,Mostly cloudy starting in the afternoon.
81,Paris,2017-03-15,59.47,47.66,Mostly cloudy until evening.
82,Paris,2017-02-22,54.13,50.46,Overcast throughout the day.
83,Paris,2016-12-31,27.61,25.47,Foggy throughout the day.
84,Paris,2016-12-19,43.66,36.83,Overcast throughout the day.
85,Paris,2016-12-16,51.84,39.64,Mostly cloudy until evening.
86,Paris,2016-12-09,51.8,35.87,Mostly cloudy until evening.
87,Paris,2016-11-26,50.62,46.7,Overcast throughout the day.
88,Paris,2016-11-17,56.45,50.73,Mostly cloudy throughout the day.
