,City,Date,TempHigh,TempLow,Summary
0,Milan,2017-05-17,82.37,61.84,Partly cloudy starting in the evening.
1,Milan,2016-12-11,48.87,34.87,Foggy starting in the evening.
2,Milan,2016-12-04,48.74,44.28,Mostly cloudy throughout the day.
3,Milan,2016-05-26,79.19,57.46,Clear throughout the day.
4,Milan,2016-05-11,59.59,57.0,Rain throughout the day.
5,Milan,2016-03-14,55.58,46.73,Mostly cloudy throughout the day.
6,Milan,2016-03-04,53.83,36.68,Partly cloudy starting in the afternoon.
7,Milan,2016-02-15,52.77,38.17,Mostly cloudy throughout the day.
8,Milan,2016-02-06,45.21,36.61,Mostly cloudy throughout the day.
9,Milan,2016-01-01,40.9,31.63,Foggy throughout the day.
10,Vienna,2016-09-09,84.33,58.48,Partly cloudy starting in the evening.
11,Vienna,2017-04-02,75.65,47.96,Clear throughout the day.
12,Vienna,2017-04-01,74.14,51.66,Clear throughout the day.
13,Vienna,2016-02-13,46.78,35.61,Mostly cloudy throughout the day.
14,Vienna,2016-02-05,43.67,37.04,Mostly cloudy throughout the day.
15,Vienna,2016-03-25,52.39,38.55,Light rain overnight.
16,Vienna,2016-04-01,57.81,44.46,Mostly cloudy throughout the day.
17,Milan,2016-05-07,75.24,54.51,Partly cloudy starting in the evening.
18,Milan,2016-01-22,43.9,26.46,Clear throughout the day.
19,Milan,2015-12-28,43.41,31.63,Foggy throughout the day.
20,Milan,2016-02-22,54.98,43.9,Foggy starting in the evening.
21,Milan,2016-02-17,44.43,39.83,Light rain until afternoon.
22,Milan,2015-12-30,51.39,37.1,Partly cloudy starting in the evening.
23,Milan,2015-12-12,52.2,33.75,Foggy in the morning.
24,Milan,2016-01-11,46.57,41.39,Foggy until evening.
25,Milan,2016-06-25,86.83,75.36,Partly cloudy until afternoon.
26,Milan,2015-12-25,48.89,38.12,Foggy starting in the evening.
27,Milan,2015-09-26,74.59,56.45,Partly cloudy starting in the evening.
28,Milan,2017-04-02,65.99,51.76,Mostly cloudy throughout the day.
29,Milan,2016-12-28,55.8,37.49,Clear throughout the day.
30,Milan,2015-10-21,61.01,44.35,Partly cloudy until evening.
31,Milan,2016-12-17,40.93,31.45,Foggy throughout the day.
32,Milan,2016-11-29,45.18,35.12,Mostly cloudy until afternoon.
33,Milan,2016-01-09,41.78,39.49,Rain starting in the afternoon.
34,Milan,2015-10-09,69.67,57.9,Partly cloudy throughout the day.
35,Milan,2016-02-05,53.16,36.13,Clear throughout the day.
