,City,Date,TempHigh,TempLow,Summary
0,Amsterdam,2017-08-03,70.79,61.57,Partly cloudy throughout the day.
1,Amsterdam,2017-07-31,71.5,58.4,Partly cloudy throughout the day.
2,Amsterdam,2017-07-24,66.61,55.75,Partly cloudy throughout the day.
3,Amsterdam,2017-07-17,73.33,56.73,Mostly cloudy throughout the day.
4,Amsterdam,2017-07-09,72.67,52.88,Mostly cloudy starting in the evening.
5,Amsterdam,2017-07-08,72.36,61.07,Partly cloudy throughout the day.
6,Amsterdam,2017-07-07,75.2,63.71,Mostly cloudy throughout the day.
7,Amsterdam,2017-07-06,78.03,57.52,Rain overnight.
8,Amsterdam,2017-07-04,71.0,58.11,Partly cloudy throughout the day.
9,Amsterdam,2017-07-03,69.43,53.09,Partly cloudy throughout the day.
10,Amsterdam,2017-06-30,66.32,56.4,Rain overnight.
11,Amsterdam,2017-06-29,67.84,59.3,Mostly cloudy throughout the day.
12,Amsterdam,2017-06-20,76.82,64.32,Mostly cloudy throughout the day.
13,Amsterdam,2017-06-19,85.31,63.77,Overcast starting in the evening.
14,Amsterdam,2017-06-12,64.15,58.19,Partly cloudy throughout the day.
15,Amsterdam,2017-06-10,74.87,55.29,Partly cloudy until afternoon.
16,Amsterdam,2017-05-29,80.27,60.7,Partly cloudy throughout the day.
17,Amsterdam,2017-05-27,87.75,62.77,Mostly cloudy starting in the evening.
18,Amsterdam,2017-05-25,71.77,51.2,Partly cloudy in the morning.
19,Amsterdam,2017-05-22,76.13,51.63,Mostly cloudy throughout the day.
20,Amsterdam,2017-05-21,66.81,48.04,Partly cloudy until evening.
21,Amsterdam,2017-05-16,77.21,61.72,Mostly cloudy throughout the day.
22,Amsterdam,2017-05-11,73.0,44.22,Mostly cloudy starting in the afternoon.
23,Amsterdam,2017-05-09,53.61,40.13,Mostly cloudy throughout the day.
24,Amsterdam,2017-05-02,57.6,48.07,Light rain overnight.
25,Amsterdam,2017-04-27,49.25,35.75,Mostly cloudy throughout the day.
26,Amsterdam,2017-04-26,49.59,35.05,Partly cloudy throughout the day.
27,Amsterdam,2017-04-20,52.96,32.44,Mostly cloudy throughout the day.
28,Amsterdam,2017-04-19,47.22,34.17,Partly cloudy throughout the day.
29,Amsterdam,2017-04-18,51.14,38.38,Partly cloudy until afternoon.
30,Amsterdam,2017-04-16,49.75,44.89,Light rain overnight.
31,Amsterdam,2017-04-14,54.72,43.31,Mostly cloudy throughout the day.
32,Amsterdam,2017-04-10,57.97,45.38,Partly cloudy throughout the day.
33,Amsterdam,2017-04-05,53.18,45.81,Partly cloudy throughout the day.
34,Amsterdam,2017-03-29,56.45,50.56,Mostly cloudy throughout the day.
35,Amsterdam,2017-03-22,53.69,36.5,Mostly cloudy starting in the afternoon.
36,Amsterdam,2017-03-20,51.21,47.88,"Light rain until afternoon, starting again in the evening."
37,Amsterdam,2017-03-19,54.61,48.39,Mostly cloudy throughout the day.
38,Amsterdam,2017-03-18,50.34,45.46,Mostly cloudy throughout the day.
39,Amsterdam,2017-03-16,60.96,39.62,Partly cloudy throughout the day.
40,Amsterdam,2017-03-06,48.49,38.57,Mostly cloudy throughout the day.
41,Amsterdam,2017-02-20,50.08,44.93,"Light rain until afternoon, starting again in the evening."
42,Amsterdam,2017-02-17,46.34,42.85,Foggy starting in the evening.
43,Amsterdam,2017-02-14,47.17,31.83,Clear throughout the day.
44,Amsterdam,2017-02-09,30.34,28.68,Mostly cloudy throughout the day.
45,Amsterdam,2017-02-06,42.25,37.25,Mostly cloudy throughout the day.
46,Amsterdam,2017-01-29,42.57,39.11,Light rain overnight.
47,Amsterdam,2017-01-27,39.53,26.0,Mostly cloudy throughout the day.
48,Amsterdam,2017-01-25,33.02,27.85,Foggy in the morning.
49,Amsterdam,2017-01-19,38.76,25.17,Mostly cloudy until afternoon.
50,Amsterdam,2017-01-08,43.13,38.62,Mostly cloudy throughout the day.
51,Amsterdam,2016-12-29,32.72,28.1,Foggy throughout the day.
52,Amsterdam,2016-12-28,40.6,32.93,Foggy until evening.
53,Amsterdam,2016-12-21,43.28,33.32,Light rain in the evening.
54,Amsterdam,2016-12-20,36.35,30.83,Foggy starting in the afternoon.
55,Amsterdam,2016-12-19,45.37,37.3,Foggy in the morning.
56,Amsterdam,2016-12-15,44.7,42.31,Foggy until afternoon.
57,Amsterdam,2016-12-14,47.33,44.32,Foggy in the morning.
58,Amsterdam,2016-12-13,45.04,42.37,Foggy throughout the day.
59,Amsterdam,2016-12-12,46.38,38.93,Mostly cloudy throughout the day.
60,Amsterdam,2016-12-11,49.23,45.9,Mostly cloudy throughout the day.
61,Amsterdam,2016-12-10,48.69,45.2,Rain starting in the evening.
62,Amsterdam,2016-12-07,48.16,36.13,Overcast throughout the day.
63,Amsterdam,2016-11-15,55.04,45.84,"Light rain starting in the afternoon, continuing until evening."
64,Amsterdam,2016-11-07,43.08,36.24,Mostly cloudy throughout the day.
65,Amsterdam,2016-11-06,47.9,41.76,Light rain until afternoon.
66,Amsterdam,2016-11-02,50.91,42.71,Light rain in the afternoon.
67,Amsterdam,2016-10-31,60.02,43.05,Foggy in the morning.
68,Amsterdam,2016-10-30,58.24,44.54,Mostly cloudy throughout the day.
69,Amsterdam,2016-10-26,54.92,43.9,Foggy overnight.
70,Amsterdam,2016-10-25,49.95,45.64,Overcast throughout the day.
71,Amsterdam,2016-10-24,47.91,41.32,Mostly cloudy throughout the day.
72,Amsterdam,2016-10-13,51.34,46.99,Mostly cloudy throughout the day.
73,Amsterdam,2016-10-12,51.6,46.9,Mostly cloudy throughout the day.
74,Amsterdam,2016-10-11,55.52,38.87,Mostly cloudy throughout the day.
75,Amsterdam,2016-10-06,55.22,43.18,Mostly cloudy throughout the day.
76,Amsterdam,2016-10-04,62.34,53.67,Partly cloudy until afternoon.
77,Amsterdam,2016-09-27,69.57,47.69,Mostly cloudy starting in the afternoon.
78,Amsterdam,2016-09-19,66.98,57.95,Mostly cloudy throughout the day.
79,Amsterdam,2016-09-18,68.96,60.71,Partly cloudy throughout the day.
80,Amsterdam,2016-09-12,82.28,63.7,Mostly cloudy in the morning.
81,Amsterdam,2016-09-09,73.1,57.28,Partly cloudy in the afternoon.
82,Amsterdam,2016-08-31,76.8,55.61,Mostly cloudy until afternoon.
83,Amsterdam,2016-08-13,67.78,60.23,Mostly cloudy throughout the day.
84,Amsterdam,2016-07-30,70.58,62.23,Mostly cloudy throughout the day.
85,Amsterdam,2016-07-27,69.08,62.67,Light rain starting in the evening.
86,Amsterdam,2016-07-26,74.03,58.84,Mostly cloudy throughout the day.
87,Amsterdam,2016-07-20,91.34,68.25,Mostly cloudy starting in the afternoon.
88,Amsterdam,2016-07-17,72.54,62.87,Partly cloudy throughout the day.
89,Amsterdam,2016-07-14,65.3,53.89,Partly cloudy until evening.
90,Amsterdam,2016-07-09,71.49,58.67,Mostly cloudy throughout the day.
