,City,Date,TempHigh,TempLow,Summary
93,Paris,2016-09-27,73.64,51.17,Mostly cloudy starting in the afternoon.
94,Paris,2016-09-25,67.5,56.39,Partly cloudy throughout the day.
95,Paris,2016-09-22,73.82,50.9,Mostly cloudy throughout the day.
96,Paris,2016-08-30,79.24,57.66,"Partly cloudy starting in the afternoon, continuing until evening."
97,Paris,2016-08-14,81.37,58.18,Partly cloudy throughout the day.
98,Paris,2016-06-14,66.57,57.48,Mostly cloudy throughout the day.
99,Paris,2016-06-09,75.08,55.16,Partly cloudy throughout the day.
100,Paris,2016-06-07,80.1,59.39,Foggy in the morning.
101,Paris,2016-06-03,56.62,51.95,Overcast throughout the day.
102,Paris,2016-05-29,63.5,58.87,Foggy in the morning.
103,Paris,2016-05-18,61.23,51.6,Mostly cloudy throughout the day.
104,Paris,2016-05-05,68.72,45.22,Mostly cloudy starting in the afternoon.
105,Paris,2016-05-04,65.47,39.18,Partly cloudy in the morning.
106,Paris,2016-04-24,46.49,34.78,Mostly cloudy throughout the day.
107,Paris,2016-04-06,57.26,44.19,Mostly cloudy starting in the afternoon.
108,Paris,2016-01-25,56.2,40.38,Mostly cloudy starting in the afternoon.
109,Paris,2016-01-09,52.39,39.56,Foggy in the morning.
110,Paris,2015-12-30,51.65,42.62,Mostly cloudy throughout the day.
111,Paris,2015-12-22,58.35,52.87,Mostly cloudy throughout the day.
112,Paris,2015-11-15,62.55,52.75,Mostly cloudy throughout the day.
113,Paris,2015-10-25,56.94,46.87,Mostly cloudy throughout the day.
114,Paris,2015-09-22,61.12,52.77,Mostly cloudy throughout the day.
115,Paris,2015-09-17,64.67,56.39,Mostly cloudy throughout the day.
116,Paris,2015-09-01,70.54,60.14,Mostly cloudy until evening.
117,Paris,2015-08-21,84.08,60.4,"Partly cloudy starting in the afternoon, continuing until evening."
118,Paris,2015-08-18,71.03,55.12,Mostly cloudy throughout the day.
119,Paris,2015-08-13,84.7,67.42,Mostly cloudy throughout the day.
120,Paris,2015-08-11,85.36,64.33,Mostly cloudy throughout the day.
121,Paris,2017-08-02,85.15,61.04,Mostly cloudy throughout the day.
122,Paris,2017-07-26,73.69,52.67,Mostly cloudy throughout the day.
123,Paris,2017-07-25,71.76,60.23,Mostly cloudy throughout the day.
124,Paris,2017-07-17,85.53,62.41,Partly cloudy until evening.
125,Paris,2017-07-12,71.99,62.38,Mostly cloudy throughout the day.
126,Paris,2017-07-10,72.21,62.26,Mostly cloudy throughout the day.
127,Paris,2017-07-06,94.78,67.72,Mostly cloudy throughout the day.
128,Paris,2017-06-24,77.98,57.83,Mostly cloudy throughout the day.
129,Paris,2017-06-21,97.8,67.82,Partly cloudy throughout the day.
130,Paris,2017-06-06,64.12,53.42,Mostly cloudy throughout the day.
131,Paris,2017-06-05,73.84,52.4,Mostly cloudy throughout the day.
132,Paris,2017-06-03,68.6,56.52,Mostly cloudy throughout the day.
133,Paris,2017-06-01,81.78,57.53,"Partly cloudy starting in the afternoon, continuing until evening."
134,Paris,2017-05-28,88.46,62.95,Mostly cloudy throughout the day.
135,Paris,2017-05-23,75.78,57.22,Mostly cloudy throughout the day.
136,Paris,2017-05-19,60.73,48.31,Mostly cloudy throughout the day.
137,Paris,2017-05-16,81.95,58.93,Mostly cloudy throughout the day.
138,Paris,2017-05-06,56.13,52.23,Overcast throughout the day.
139,Paris,2017-05-05,64.65,45.94,Foggy in the morning.
140,Paris,2017-05-03,52.59,48.52,Mostly cloudy throughout the day.
141,Paris,2017-04-22,60.68,45.26,Mostly cloudy throughout the day.
142,Paris,2017-04-21,64.82,33.38,Partly cloudy in the evening.
143,Paris,2017-04-14,62.25,48.98,Mostly cloudy throughout the day.
144,Paris,2017-04-12,66.16,38.86,Partly cloudy until evening.
145,Paris,2017-04-05,59.75,46.74,Mostly cloudy throughout the day.
146,Paris,2017-04-04,62.61,44.63,Mostly cloudy overnight.
147,Paris,2017-03-23,56.19,42.3,Light rain starting in the evening.
148,Paris,2017-03-22,54.97,40.12,Mostly cloudy throughout the day.
149,Paris,2017-03-18,57.35,44.89,Overcast throughout the day.
150,Paris,2017-03-17,56.51,45.86,Mostly cloudy throughout the day.
151,Paris,2017-03-14,60.08,38.11,Mostly cloudy throughout the day.
152,Paris,2017-03-10,52.45,41.98,Foggy in the morning.
153,Paris,2017-03-03,59.21,42.19,Overcast throughout the day.
154,Paris,2017-02-15,61.86,43.26,Mostly cloudy throughout the day.
155,Paris,2017-02-05,51.76,40.92,Mostly cloudy throughout the day.
