,City,Date,TempHigh,TempLow,Summary
0,London,2016-09-18,66.3,57.84,Mostly cloudy throughout the day.
1,London,2016-09-04,67.65,60.34,Mostly cloudy until evening.
2,London,2016-08-28,68.99,62.0,Mostly cloudy throughout the day.
3,London,2016-08-25,81.89,66.22,Mostly cloudy until afternoon.
4,London,2016-08-23,85.39,56.51,Partly cloudy in the evening.
5,London,2016-08-18,75.61,59.08,"Partly cloudy starting in the afternoon, continuing until evening."
6,London,2016-08-16,74.33,52.06,Partly cloudy throughout the day.
7,London,2016-08-13,75.95,58.79,Mostly cloudy throughout the day.
8,London,2016-08-04,70.4,59.39,Partly cloudy throughout the day.
9,London,2016-08-03,73.49,62.02,Mostly cloudy throughout the day.
10,London,2016-07-27,75.0,62.63,Mostly cloudy throughout the day.
11,London,2016-07-19,89.92,60.56,Partly cloudy overnight.
12,London,2016-07-17,79.6,64.99,Mostly cloudy until evening.
13,London,2016-07-07,73.31,57.58,Partly cloudy throughout the day.
14,London,2016-07-05,69.31,58.88,Mostly cloudy until evening.
15,London,2016-07-02,66.15,50.83,Partly cloudy until evening.
16,London,2016-06-28,69.41,52.19,Light rain in the evening.
17,London,2016-06-27,70.28,58.19,Mostly cloudy throughout the day.
18,London,2016-06-21,69.56,57.99,Mostly cloudy throughout the day.
19,London,2016-06-14,63.54,56.36,Mostly cloudy throughout the day.
20,London,2016-06-11,71.77,58.55,Partly cloudy throughout the day.
21,London,2016-06-10,74.73,54.66,Mostly cloudy throughout the day.
22,London,2016-06-06,73.71,52.12,Partly cloudy starting in the evening.
23,London,2016-06-04,66.14,53.38,Mostly cloudy throughout the day.
24,London,2016-06-01,55.17,52.77,Overcast throughout the day.
25,London,2016-05-29,66.52,49.14,Mostly cloudy throughout the day.
26,London,2016-05-22,65.93,52.66,Partly cloudy throughout the day.
27,London,2016-05-21,64.35,55.06,Mostly cloudy throughout the day.
28,London,2016-05-20,66.51,55.35,Mostly cloudy throughout the day.
29,London,2016-05-18,55.72,52.08,Rain in the afternoon.
30,London,2016-05-16,64.54,46.8,Partly cloudy until evening.
31,London,2016-05-13,64.75,49.08,Mostly cloudy throughout the day.
32,London,2016-05-11,65.62,58.09,Light rain in the morning.
33,London,2016-05-06,72.57,44.15,Partly cloudy throughout the day.
34,London,2016-05-03,59.33,40.15,Partly cloudy throughout the day.
35,London,2016-05-01,61.78,34.06,Mostly cloudy starting in the evening.
36,London,2016-04-29,51.35,40.95,Partly cloudy until afternoon.
37,London,2016-04-27,51.97,34.41,Partly cloudy throughout the day.
38,London,2016-04-26,48.08,35.74,Partly cloudy until evening.
39,London,2016-04-25,52.27,38.49,Mostly cloudy throughout the day.
40,London,2016-04-24,49.32,38.13,Mostly cloudy throughout the day.
41,London,2016-04-21,60.12,42.43,Partly cloudy throughout the day.
42,London,2016-04-18,53.67,37.33,Mostly cloudy throughout the day.
43,London,2016-04-17,53.28,33.76,Partly cloudy until evening.
44,London,2016-04-10,54.39,34.34,Partly cloudy starting in the afternoon.
45,London,2016-04-09,52.98,39.54,Mostly cloudy until evening.
46,London,2016-04-08,55.44,39.23,Partly cloudy throughout the day.
47,London,2016-04-07,50.82,40.62,Mostly cloudy throughout the day.
48,London,2016-04-05,58.46,45.52,Partly cloudy until evening.
49,London,2016-04-03,60.65,45.15,Mostly cloudy throughout the day.
50,London,2016-04-01,55.29,33.25,Partly cloudy throughout the day.
51,London,2016-03-29,54.09,40.78,Light rain in the evening.
52,London,2016-03-28,53.44,42.13,Light rain in the morning.
