,City,Date,TempHigh,TempLow,Summary
0,Barcelona,2016-07-21,82.96,74.87,Partly cloudy in the morning.
1,Barcelona,2016-07-09,89.52,75.5,Clear throughout the day.
2,Barcelona,2016-07-07,84.4,73.01,Clear throughout the day.
3,Barcelona,2016-07-06,84.64,74.54,Clear throughout the day.
4,Barcelona,2016-07-04,81.0,69.79,Clear throughout the day.
5,Barcelona,2016-06-24,82.34,66.43,Clear throughout the day.
6,Barcelona,2016-05-16,69.53,59.56,Partly cloudy in the morning.
7,Barcelona,2016-05-01,68.9,47.26,Clear throughout the day.
8,Barcelona,2016-04-21,65.38,54.38,Heavy rain until afternoon.
9,Barcelona,2016-04-20,69.19,58.27,Light rain overnight.
10,Barcelona,2016-04-13,71.85,55.3,Partly cloudy in the morning.
11,Barcelona,2016-04-11,67.99,54.59,Partly cloudy in the morning.
12,Barcelona,2016-04-06,67.54,53.35,Partly cloudy in the morning.
13,Barcelona,2016-03-15,56.26,47.47,Partly cloudy until evening.
14,Barcelona,2016-03-13,57.36,43.18,Partly cloudy starting in the afternoon.
15,Barcelona,2016-03-12,58.03,44.01,Clear throughout the day.
16,Barcelona,2016-03-08,55.77,45.6,Partly cloudy in the morning.
17,Barcelona,2016-03-07,56.25,44.36,Partly cloudy starting in the afternoon.
18,Barcelona,2016-03-04,61.9,46.33,Partly cloudy overnight.
19,Barcelona,2016-03-01,65.23,44.94,Clear throughout the day.
20,Barcelona,2016-02-16,56.16,38.96,Clear throughout the day.
21,Barcelona,2016-02-11,56.68,51.09,Light rain in the morning.
22,Barcelona,2016-02-06,57.84,47.1,Mostly cloudy throughout the day.
23,Barcelona,2016-01-31,61.99,47.29,Clear throughout the day.
24,Barcelona,2016-01-30,62.06,49.64,Clear throughout the day.
25,Barcelona,2016-01-16,54.86,40.74,Clear throughout the day.
26,Barcelona,2016-01-13,57.0,43.92,Partly cloudy until evening.
27,Barcelona,2016-01-07,67.48,51.44,Clear throughout the day.
28,Barcelona,2015-12-27,61.97,46.32,Mostly cloudy in the morning.
29,Barcelona,2015-12-26,61.38,44.67,Clear throughout the day.
30,Barcelona,2015-12-20,57.8,53.96,Mostly cloudy throughout the day.
31,Barcelona,2015-12-18,61.3,47.63,Mostly cloudy overnight.
32,Barcelona,2015-12-13,59.67,46.88,Clear throughout the day.
33,Barcelona,2015-12-09,65.04,52.54,Partly cloudy in the afternoon.
34,Barcelona,2015-12-08,64.48,54.98,Mostly cloudy until afternoon.
35,Barcelona,2015-12-05,59.48,50.54,Mostly cloudy starting in the evening.
36,Barcelona,2015-12-04,60.58,46.44,Foggy in the morning.
37,Barcelona,2015-12-03,60.0,46.81,Mostly cloudy in the morning.
38,Barcelona,2015-12-01,61.84,45.68,Clear throughout the day.
39,Barcelona,2015-11-29,58.29,44.91,Partly cloudy in the morning.
40,Barcelona,2015-11-28,61.95,44.98,Clear throughout the day.
41,Barcelona,2015-11-26,60.5,45.98,Partly cloudy starting in the evening.
42,Barcelona,2015-11-25,60.63,45.42,Clear throughout the day.
43,Barcelona,2015-11-23,55.87,39.84,Partly cloudy in the morning.
44,Barcelona,2015-11-05,70.11,57.35,Mostly cloudy overnight.
45,Barcelona,2015-11-01,68.17,59.64,Partly cloudy starting in the evening.
46,Barcelona,2015-10-29,71.07,53.54,Clear throughout the day.
47,Barcelona,2015-10-25,66.94,58.91,Partly cloudy in the afternoon.
48,Barcelona,2015-10-10,74.02,57.49,Clear throughout the day.
49,Barcelona,2015-10-09,71.01,59.35,Partly cloudy until evening.
50,Barcelona,2015-10-08,70.94,61.29,Partly cloudy throughout the day.
51,Barcelona,2015-10-06,82.9,68.03,Clear throughout the day.
52,Barcelona,2015-10-03,73.6,63.31,Heavy rain in the morning.
53,Barcelona,2015-09-30,65.66,63.7,Rain until evening.
54,Barcelona,2015-09-24,74.65,61.53,Mostly cloudy in the morning.
